ID	NAME	CLONE_ID	5ACC	3ACC	GB_LIST
4815	CD9 CD9 antigen Chr.12 [306170, (IW), 5':W20026, 3':N90536]	IMAGE:306170	W20026	N90536	W20026,N90536
4816	SID  306311, PUTATIVE 60S RIBOSOMAL PROTEIN [5':, 3':N79020]	IMAGE:306311		N79020	N79020
4817	SID W 306176, Homo sapiens clone 24529 mRNA sequence [5':W20165, 3':N90539]	IMAGE:306176	W20165	N90539	W20165,N90539
4818	SID W 305975, Isocitrate dehydrogenase 2 (NADP+), mitochondrial [5':W20116, 3':N90435]	IMAGE:305975	W20116	N90435	W20116,N90435
4819	 Homo sapiens clone 24538 mRNA sequence Chr.6 [305934, (EW), 5':W19999, 3':N91342]	IMAGE:305934	W19999	N91342	W19999,N91342
4820	 Homo sapiens coatomer protein (COPA) mRNA, complete cds Chr.1 [306258, (IE), 5':, 3':N79000]	IMAGE:306258		N79000	N79000
4821	 ESTs Chr.1 [305949, (DIW), 5':W20090, 3':N90430]	IMAGE:305949	W20090	N90430	W20090,N90430
4822	SID W 306147, ESTs, Weakly similar to RTP [H.sapiens] [5':W20020, 3':N90531]	IMAGE:306147	W20020	N90531	W20020,N90531
4823	 ESTs Chr. [306261, (I), 5':, 3':N79005]	IMAGE:306261		N79005	N79005
4824	 ESTs Chr.2 [306285, (I), 5':, 3':N79013]	IMAGE:306285		N79013	N79013
4825	 ESTs Chr.11 [306075, (IW), 5':W20085, 3':N91480]	IMAGE:306075	W20085	N91480	W20085,N91480
4826	SID W 305941, ESTs, Highly  similar to OSTEOINDUCTIVE FACTOR PRECURSOR [Bos taurus] [5':W20008, 3':N91349]	IMAGE:305941	W20008	N91349	W20008,N91349
4827	SID  306136, ESTs [5':W19943, 3':N91023]	IMAGE:306136	W19943	N91023	W19943,N91023
4828	SID  306134, ESTs [5':, 3':N90513]	IMAGE:306134		N90513	N90513
4829	SID W 306418, MULTIFUNCTIONAL PROTEIN ADE2 [5':W20277, 3':N92698]	IMAGE:306418	W20277	N92698	W20277,N92698
4830	SID W 306490, Steroidogenic acute regulatory protein [5':W20357, 3':N92738]	IMAGE:306490	W20357	N92738	W20357,N92738
4831	 ESTs, Weakly similar to No definition line found [C.elegans] Chr.5 [306594, (I), 5':W23880, 3':N94822]	IMAGE:306594	W23880	N94822	W23880,N94822
4832	SID W 306539, RAN binding protein 1 [5':W31262, 3':N91825]	IMAGE:306539	W31262	N91825	W31262,N91825
4833	NTRK1 Neurotrophic tyrosine kinase, receptor, type 1 Chr.1 [306359, (IW), 5':W19650, 3':N79034]	IMAGE:306359	W19650	N79034	W19650,N79034
4834	SID W 306373, HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN L [5':W20114, 3':N90702]	IMAGE:306373	W20114	N90702	W20114,N90702
4835	GJA1 Cardiac gap junction protein Chr.X [306488, (IW), 5':W20356, 3':N92737]	IMAGE:306488	W20356	N92737	W20356,N92737
4836	 ESTs Chr.15 [306569, (I), 5':W23876, 3':N94817]	IMAGE:306569	W23876	N94817	W23876,N94817
4837	 ESTs Chr. [306568, (IR), 5':W23873, 3':N94814]	IMAGE:306568	W23873	N94814	W23873,N94814
4838	 H.sapiens mRNA for CLPP Chr.19 [306914, (IE), 5':W24150, 3':N91955]	IMAGE:306914	W24150	N91955	W24150,N91955
4839	SID W 306848, Mineralocorticoid receptor (aldosterone receptor) [5':W24096, 3':N91919]	IMAGE:306848	W24096	N91919	W24096,N91919
4840	SID  306899, D-BETA-HYDROXYBUTYRATE DEHYDROGENASE PRECURSOR [5':W24146, 3':N91951]	IMAGE:306899	W24146	N91951	W24146,N91951
4841	SID  306932, Homo sapiens scaffold attachment factor B (SAF-B) mRNA, partial cds [5':W21577, 3':N79078]	IMAGE:306932	W21577	N79078	W21577,N79078
4842	SID  306868, Human inwardly rectifying potassium channel mRNA, complete cds [5':W24105, 3':N91927]	IMAGE:306868	W24105	N91927	W24105,N91927
4843	 ESTs, Weakly similar to anon2A5 [D.melanogaster] Chr.1 [306980, (I), 5':W21606, 3':N79086]	IMAGE:306980	W21606	N79086	W21606,N79086
4844	SID W 306918, Human mRNA for KIAA0204 gene, complete cds [5':W24152, 3':N91956]	IMAGE:306918	W24152	N91956	W24152,N91956
4845	SID  307067, ESTs [5':, 3':N93685]	IMAGE:307067		N93685	N93685
4846	 ESTs Chr.9 [306933, (I), 5':, 3':N79081]	IMAGE:306933		N79081	N79081
4847	SCYA5 Small inducible cytokine A5 (RANTES) Chr.11 [306743, (IW), 5':W24183, 3':N91767]	IMAGE:306743	W24183	N91767	W24183,N91767
4848	 Human acetolactate synthase homolog mRNA, complete cds Chr.19 [306715, (DW), 5':W24178, 3':N91760]	IMAGE:306715	W24178	N91760	W24178,N91760
4849	SID  306856, ESTs [5':W23998, 3':N79056]	IMAGE:306856	W23998	N79056	W23998,N79056
4850	 Homo sapiens transcriptional regulatory protein p54 mRNA, complete cds Chr.2 [306798, (IW), 5':W24051, 3':N91896]	IMAGE:306798	W24051	N91896	W24051,N91896
4851	SID W 307293, RAP1A, member of RAS oncogene family [5':W21022, 3':N95176]	IMAGE:307293	W21022	N95176	W21022,N95176
4852	 RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE M1 CHAIN Chr.11 [307333, (DW), 5':W21497, 3':N93479]	IMAGE:307333	W21497	N93479	W21497,N93479
4853	SID W 307325, Endothelial differentiation protein (edg-1) [5':W21494, 3':N93476]	IMAGE:307325	W21494	N93476	W21494,N93476
4854	LBR Lamin B receptor Chr.1 [307225, (IW), 5':W21468, 3':N93426]	IMAGE:307225	W21468	N93426	W21468,N93426
4855	 EST Chr. [307342, (I), 5':W21054, 3':N95225]	IMAGE:307342	W21054	N95225	W21054,N95225
4856	SID  307207, ESTs, Highly  similar to PHOSPHOGLYCERATE MUTASE, MUSCLE FORM [Homo sapiens] [5':W21455, 3':N93414]	IMAGE:307207	W21455	N93414	W21455,N93414
4857	TUBB Beta-tubulin Chr.6 [307228, (EW), 5':W21462, 3':N93421]	IMAGE:307228	W21462	N93421	W21462,N93421
4858	HLA-H MHC protein HLA-H (hereditary haemochromatosis) Chr.6 [307162, (IW), 5':W21141, 3':N93736]	IMAGE:307162	W21141	N93736	W21141,N93736
4859	SID W 307361, Apolipoprotein C-II [5':W21061, 3':N95232]	IMAGE:307361	W21061	N95232	W21061,N95232
4860	SID  307329, ESTs [5':W21495, 3':N93477]	IMAGE:307329	W21495	N93477	W21495,N93477
4861	 ESTs Chr.X [307317, (IW), 5':W21049, 3':N95221]	IMAGE:307317	W21049	N95221	W21049,N95221
4862	 ESTs Chr.4 [307220, (IEW), 5':W21538, 3':N95180]	IMAGE:307220	W21538	N95180	W21538,N95180
4863	SID W 307334, ESTs [5':W21244, 3':N93473]	IMAGE:307334	W21244	N93473	W21244,N93473
4864	SID W 307296, Human Hlark mRNA, complete cds [5':W21221, 3':N93452]	IMAGE:307296	W21221	N93452	W21221,N93452
4865	 ESTs Chr.11 [307138, (R), 5':W21127, 3':N93721]	IMAGE:307138	W21127	N93721	W21127,N93721
4866	 ESTs Chr.12 [307304, (R), 5':W21225, 3':N93455]	IMAGE:307304	W21225	N93455	W21225,N93455
4867	 ESTs Chr.14 [307115, (IW), 5':W21100, 3':N93713]	IMAGE:307115	W21100	N93713	W21100,N93713
4868	 ESTs Chr.16 [307245, (I), 5':W21549, 3':N95201]	IMAGE:307245	W21549	N95201	W21549,N95201
4869	 CELL SURFACE GLYCOPROTEIN A15 Chr.X [307471, (IRW), 5':W21317, 3':N93505]	IMAGE:307471	W21317	N93505	W21317,N93505
4870	SID  307728, Human HFREP-1 mRNA for unknown protein, complete cds [5':, 3':N92944]	IMAGE:307728		N92944	N92944
4871	SID W 307626, ESTs, Weakly similar to HYPOTHETICAL 33.7 KD PROTEIN T05G5.7 IN CHROMOSOME III [C.elegans] [5':W21423, 3':N92966]	IMAGE:307626	W21423	N92966	W21423,N92966
4872	 Human fragile X mental retardation syndrome related protein (FXR2) mRNA, complete cds Chr.17 [307500, (IW), 5':W21248, 3':N93513]	IMAGE:307500	W21248	N93513	W21248,N93513
4873	SID  307710, Human cardiodilatin-atrial natriuretic factor (CDD-ANF) mRNA, complete cds [5':, 3':N92931]	IMAGE:307710		N92931	N92931
4874	SID W 307720, ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit [5':W21200, 3':N92990]	IMAGE:307720	W21200	N92990	W21200,N92990
4875	SID  307535, Acyl-Coenzyme A dehydrogenase, long chain [5':W21086, 3':N95169]	IMAGE:307535	W21086	N95169	W21086,N95169
4876	SID W 307663, Eukaryotic translation elongation factor 2 [5':W21428, 3':N92910]	IMAGE:307663	W21428	N92910	W21428,N92910
4877	 Human recombination activating protein (RAG-1) gene, complete cds Chr.11 [307741, (IR), 5':, 3':N92955]	IMAGE:307741		N92955	N92955
4878	SID  307549, ESTs [5':W21352, 3':N93544]	IMAGE:307549	W21352	N93544	W21352,N93544
4879	SID  307717, Homo sapiens KIAA0430 mRNA, complete cds [5':, 3':N92942]	IMAGE:307717		N92942	N92942
4880	 Homo sapiens mRNA for tyrosyl sulfotransferase-2 Chr.22 [307478, (IW), 5':W21315, 3':N93502]	IMAGE:307478	W21315	N93502	W21315,N93502
4881	SID W 308098, Myosin, light polypeptide 3, alkali; ventricular, skeletal, slow [5':W24524, 3':N92340]	IMAGE:308098	W24524	N92340	W24524,N92340
4882	SID W 307904, Human zinc finger protein mRNA, complete cds [5':W21271, 3':N93033]	IMAGE:307904	W21271	N93033	W21271,N93033
4883	 ESTs, Weakly similar to !!!! ALU SUBFAMILY SB1 WARNING ENTRY !!!! [H.sapiens] Chr.7 [307892, (I), 5':W24747, 3':N93092]	IMAGE:307892	W24747	N93092	W24747,N93092
4884	 ESTs Chr.17 [308115, (R), 5':W24543, 3':N92359]	IMAGE:308115	W24543	N92359	W24543,N92359
4885	SID  307972, ESTs, Weakly similar to NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5 [Ascaris suum] [5':W24451, 3':N92272]	IMAGE:307972	W24451	N92272	W24451,N92272
4886	SID W 308085, ESTs [5':W24573, 3':N95316]	IMAGE:308085	W24573	N95316	W24573,N95316
4887	SID W 308159, Autosomal dominant polycystic kidney disease type II [5':W24775, 3':N95301]	IMAGE:308159	W24775	N95301	W24775,N95301
4888	SID W 308149, 6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha  [5':W24565, 3':N92370]	IMAGE:308149	W24565	N92370	W24565,N92370
4889	 H.sapiens mRNA for caltractin Chr.X [307851, (IW), 5':W21362, 3':N93012]	IMAGE:307851	W21362	N93012	W21362,N93012
4890	SID  307856, ESTs [5':W21358, 3':N93007]	IMAGE:307856	W21358	N93007	W21358,N93007
4891	SID  308183, ESTs [5':W24781, 3':N95326]	IMAGE:308183	W24781	N95326	W24781,N95326
4892	SID  308021, ESTs [5':W24700, 3':N92305]	IMAGE:308021	W24700	N92305	W24700,N92305
4893	SID W 308008, ESTs [5':W24419, 3':N95287]	IMAGE:308008	W24419	N95287	W24419,N95287
4894	SID W 308145, ESTs [5':W24563, 3':N92368]	IMAGE:308145	W24563	N92368	W24563,N92368
4895	SID  308011, ESTs [5':W24493, 3':N95292]	IMAGE:308011	W24493	N95292	W24493,N95292
4896	SID W 308182, ESTs [5':W24777, 3':N95303]	IMAGE:308182	W24777	N95303	W24777,N95303
4897	SID W 308151, Homo sapiens clone 24751 unknown mRNA [5':W24566, 3':N92371]	IMAGE:308151	W24566	N92371	W24566,N92371
4898	 ESTs Chr.1 [308223, (RW), 5':W24646, 3':N92412]	IMAGE:308223	W24646	N92412	W24646,N92412
4899	SID  308241, Branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease) [5':W24658, 3':N92424]	IMAGE:308241	W24658	N92424	W24658,N92424
4900	RPN1 Ribophorin I Chr.3 [308400, (I), 5':W31334, 3':N93787]	IMAGE:308400	W31334	N93787	W31334,N93787
4901	SID  308408, ESTs [5':W31336, 3':N93789]	IMAGE:308408	W31336	N93789	W31336,N93789
4902	 ESTs Chr.7 [308238, (IR), 5':W24650, 3':N92415]	IMAGE:308238	W24650	N92415	W24650,N92415
4903	SID W 308426, Homo sapiens clone 23914 mRNA sequence [5':W24862, 3':N95710]	IMAGE:308426	W24862	N95710	W24862,N95710
4904	SID  308392, ESTs [5':W44837, 3':N95628]	IMAGE:308392	W44837	N95628	W44837,N95628
4905	 ESTs Chr.20 [308412, (R), 5':W31338, 3':N93790]	IMAGE:308412	W31338	N93790	W31338,N93790
4906	 ESTs, Weakly similar to T08A11.2 [C.elegans] Chr.2 [308254, (I), 5':, 3':N93800]	IMAGE:308254		N93800	N93800
4907	FOLR1 Folate receptor 1 (adult) Chr.11 [308366, (I), 5':, 3':N93766]	IMAGE:308366		N93766	N93766
4908	ALDH7 Aldehyde dehydrogenase 7 Chr.11 [308598, (IW), 5':W24901, 3':N95790]	IMAGE:308598	W24901	N95790	W24901,N95790
4909	SID W 308561, Troponin C1 (slow skeletal) [5':W25029, 3':N95627]	IMAGE:308561	W25029	N95627	W25029,N95627
4910	 ESTs Chr.17 [308485, (IW), 5':W24854, 3':N95760]	IMAGE:308485	W24854	N95760	W24854,N95760
4911	SID  308360, ESTs [5':, 3':N93763]	IMAGE:308360		N93763	N93763
4912	SID W 308567, Human DNA sequence from clone 323P24 on chromosome Xp11.21-11.23 Contains SPIN (spindlin homolog [5':W25032, 3':N95415]	IMAGE:308567	W25032	N95415	W25032,N95415
4913	SID  308396, ESTs, Weakly similar to product of alternative splicing [D.melanogaster] [5':W44962, 3':N95629]	IMAGE:308396	W44962	N95629	W44962,N95629
4914	SID W 308904, Phospholipase C, gamma 2 (phosphatidylinositol-specific) [5':W25324, 3':N93343]	IMAGE:308904	W25324	N93343	W25324,N93343
4915	TCN2 Transcobalamin II Chr.22 [308820, (IW), 5':W25143, 3':N93292]	IMAGE:308820	W25143	N93292	W25143,N93292
4916	SID  308745,  [5':W25111, 3':N93254]	IMAGE:308745	W25111	N93254	W25111,N93254
4917	SID W 308796, Human p76 mRNA, complete cds [5':W25118, 3':N93278]	IMAGE:308796	W25118	N93278	W25118,N93278
4918	 PROTEIN TRANSPORT PROTEIN SEC61 BETA SUBUNIT Chr.9 [308865, (IW), 5':W25178, 3':N93326]	IMAGE:308865	W25178	N93326	W25178,N93326
4919	SID W 308924, HEMOGLOBIN EPSILON CHAIN [5':W25510, 3':N93614]	IMAGE:308924	W25510	N93614	W25510,N93614
4920	SID  308776, O-6-methylguanine-DNA methyltransferase [5':W25250, 3':N95214]	IMAGE:308776	W25250	N95214	W25250,N95214
4921	SID  308729, ESTs [5':W25229, 3':N95389]	IMAGE:308729	W25229	N95389	W25229,N95389
4922	SID W 308842, Homo sapiens ubiquitin hydrolyzing enzyme I (UBH1) mRNA, partial cds [5':W25155, 3':N93303]	IMAGE:308842	W25155	N93303	W25155,N93303
4923	 ESTs Chr.X [308913, (I), 5':W25351, 3':N93352]	IMAGE:308913	W25351	N93352	W25351,N93352
4924	SID  308632, ESTs [5':W25165, 3':N95410]	IMAGE:308632	W25165	N95410	W25165,N95410
4925	SID  308805, Human mRNA for KIAA0185 gene, partial cds [5':, 3':N95396]	IMAGE:308805		N95396	N95396
4926	SID W 308968, Homo sapiens SH3-containing adaptor molecule-1 mRNA, complete cds [5':W25493, 3':N93626]	IMAGE:308968	W25493	N93626	W25493,N93626
4927	 ESTs Chr.11 [308746, (IR), 5':W25105, 3':N93247]	IMAGE:308746	W25105	N93247	W25105,N93247
4928	 ESTs, Highly  similar to HYPOTHETICAL 40.4 KD PROTEIN R06F6.5 IN CHROMOSOME II [Caenorhabditis e Chr.2 [308812, (IW), 5':W25130, 3':N93288]	IMAGE:308812	W25130	N93288	W25130,N93288
4929	*EST W25116 SID W 308793, ESTs [5':W25124, 3':N93284]	IMAGE:308793	W25124	N93284	W25124,N93284
4930	SID W 308845, ESTs [5':W25135, 3':N93312]	IMAGE:308845	W25135	N93312	W25135,N93312
4931	SID  308718, ESTs [5':W25089, 3':N93232]	IMAGE:308718	W25089	N93232	W25089,N93232
4932	SID  308832, ESTs [5':, 3':N93299]	IMAGE:308832		N93299	N93299
4933	RFC4 Replication factor C, 37-kD subunit Chr.3 [309288, (IRW), 5':W40404, 3':N93924]	IMAGE:309288	W40404	N93924	W40404,N93924
4934	 ESTs Chr.1 [309209, (IW), 5':W40173, 3':N98225]	IMAGE:309209	W40173	N98225	W40173,N98225
4935	 Human lysophosphatidic acid receptor homolog mRNA, complete cds Chr.9 [309300, (IW), 5':W40430, 3':N93930]	IMAGE:309300	W40430	N93930	W40430,N93930
4936	SID W 309345, Matrix metalloproteinase 2 [5':W40461, 3':N93959]	IMAGE:309345	W40461	N93959	W40461,N93959
4937	SID  309046, Leukotriene C4 synthase [5':, 3':N95368]	IMAGE:309046		N95368	N95368
4938	SID  309113, ESTs [5':, 3':N98235]	IMAGE:309113		N98235	N98235
4939	SID  309088, ESTs [5':, 3':N95379]	IMAGE:309088		N95379	N95379
4940	SID  309091, ESTs [5':, 3':N95384]	IMAGE:309091		N95384	N95384
4941	SID  309231, ESTs, Moderately similar to zinc finger protein [R.norvegicus] [5':W40354, 3':N93862]	IMAGE:309231	W40354	N93862	W40354,N93862
4942	SID  309438, Human methionine aminopeptidase mRNA, complete cds [5':, 3':N94333]	IMAGE:309438		N94333	N94333
4943	SID  309615, Cyclin D3 [5':W30788, 3':N94440]	IMAGE:309615	W30788	N94440	W30788,N94440
4944	PLAUR Plasminogen activator, urokinase receptor Chr.19 [309553, (DI), 5':, 3':N94408]	IMAGE:309553		N94408	N94408
4945	 Human vascular endothelial growth factor related protein VRP mRNA, complete cds Chr.4 [309535, (I), 5':, 3':N94399]	IMAGE:309535		N94399	N94399
4946	SID W 309756, Human FX protein mRNA, complete cds [5':W30866, 3':N94576]	IMAGE:309756	W30866	N94576	W30866,N94576
4947	SID W 309578, ESTs, Highly similar to ERp28 [H.sapiens] [5':W30764, 3':N94416]	IMAGE:309578	W30764	N94416	W30764,N94416
4948	SID W 309676, Homo sapiens mRNA for JM23 protein, complete coding sequence (clone IMAGE 34581 and IMAGE 45355  [5':W30749, 3':N94524]	IMAGE:309676	W30749	N94524	W30749,N94524
4949	SID  309732, ESTs, Highly  similar to CLATHRIN COAT ASSEMBLY PROTEIN AP19 [Mus musculus] [5':W30851, 3':N94560]	IMAGE:309732	W30851	N94560	W30851,N94560
4950	SID W 309404, ESTs, Highly  similar to HYPOTHETICAL 67.6 KD PROTEIN ZK637.3 IN CHROMOSOME III [Caenorhabditis  [5':W30696, 3':N99048]	IMAGE:309404	W30696	N99048	W30696,N99048
4951	SID W 309745, ESTs, Highly  similar to HYPOTHETICAL 34.7 KD PROTEIN IN SPT10-GCD14 INTERGENIC REGION [Saccharo [5':W30868, 3':N94578]	IMAGE:309745	W30868	N94578	W30868,N94578
4952	SID W 309700, Homo sapiens Mad4 homolog (Mad4) mRNA, complete cds [5':W30833, 3':N94540]	IMAGE:309700	W30833	N94540	W30833,N94540
4953	JUNB Jun B proto-oncogene Chr.19 [309477, (DW), 5':W30678, 3':N99070]	IMAGE:309477	W30678	N99070	W30678,N99070
4954	 Human mRNA for phosphoribosypyrophosphate synthetase-associated protein 39, complete cds Chr. [309675, (IW), 5':W30805, 3':N94531]	IMAGE:309675	W30805	N94531	W30805,N94531
4955	SID  309610, SHB adaptor protein (a Src homology 2 protein) [5':W30779, 3':N94432]	IMAGE:309610	W30779	N94432	W30779,N94432
4956	SID  309570, Human high-mobility group phosphoprotein isoform I-C (HMGIC) mRNA, complete cds [5':, 3':N99234]	IMAGE:309570		N99234	N99234
4957	 Human germline oligomeric matrix protein (COMP) mRNA, complete cds Chr.19 [309515, (R), 5':, 3':N94385]	IMAGE:309515		N94385	N94385
4958	SID W 309634, ESTs, Weakly similar to HYPOTHETICAL 68.7 KD PROTEIN ZK757.1 IN CHROMOSOME III [C.elegans] [5':W30793, 3':N94446]	IMAGE:309634	W30793	N94446	W30793,N94446
4959	SID  309411, HEAT SHOCK PROTEIN HSP 90-ALPHA [5':, 3':N94326]	IMAGE:309411		N94326	N94326
4960	SID  309395, ESTs, Weakly similar to W09D10.2 [C.elegans] [5':, 3':N94315]	IMAGE:309395		N94315	N94315
4961	 ESTs Chr.10 [309453, (IEW), 5':W30724, 3':N99063]	IMAGE:309453	W30724	N99063	W30724,N99063
4962	SID  309516, ESTs [5':, 3':N94378]	IMAGE:309516		N94378	N94378
4963	SID W 309547, ESTs [5':W30758, 3':N98221]	IMAGE:309547	W30758	N98221	W30758,N98221
4964	SID W 309746, ESTs, Weakly similar to !!!! ALU SUBFAMILY J WARNING ENTRY !!!! [H.sapiens] [5':W30861, 3':N94571]	IMAGE:309746	W30861	N94571	W30861,N94571
4965	SID W 310141, DNA-damage-inducible transcript 1 [5':W24267, 3':N98621]	IMAGE:310141	W24267	N98621	W24267,N98621
4966	SID  310091, Human clone ID 193225 NAD (H)-specific isocitrate dehydrogenase gamma subunit mRNA, alternativel [5':W24235, 3':N98611]	IMAGE:310091	W24235	N98611	W24235,N98611
4967	HEXB Hexosaminidase B (beta polypeptide) Chr.5 [310005, (IW), 5':W24326, 3':N95445]	IMAGE:310005	W24326	N95445	W24326,N95445
4968	 Human retinoic acid- and interferon-inducible 58K protein RI58 mRNA, complete cds Chr.10 [310105, (IRW), 5':W24246, 3':N98563]	IMAGE:310105	W24246	N98563	W24246,N98563
4969	 GAMMA-INTERFERON-INDUCIBLE PROTEIN IP-30 PRECURSOR Chr.19 [310021, (I), 5':, 3':N99151]	IMAGE:310021		N99151	N99151
4970	SID W 309770, Homo sapiens methionine synthase reductase (MTRR) mRNA, complete cds [5':W23792, 3':N94585]	IMAGE:309770	W23792	N94585	W23792,N94585
4971	SID  310103, ESTs [5':W24345, 3':N95542]	IMAGE:310103	W24345	N95542	W24345,N95542
4972	SID  309899,  [5':W23940, 3':N94490]	IMAGE:309899	W23940	N94490	W23940,N94490
4973	*Prothymosin alpha HMR Hormone receptor (growth factor-inducible nuclear protein N10) Chr.12 [309893, (RW), 5':W23937, 3':N94487]	IMAGE:309893	W23937	N94487	W23937,N94487
4974	 Human forkhead protein FREAC-2 mRNA, partial cds Chr.6 [310138, (IRW), 5':W24258, 3':N98485]	IMAGE:310138	W24258	N98485	W24258,N98485
4975	SID W 310148, SERINE/THREONINE-PROTEIN KINASE RECEPTOR R3 PRECURSOR [5':W24356, 3':N95334]	IMAGE:310148	W24356	N95334	W24356,N95334
4976	 ESTs Chr.5 [309918, (DW), 5':W23946, 3':N94496]	IMAGE:309918	W23946	N94496	W23946,N94496
4977	SID  310025, ESTs [5':W24330, 3':N95469]	IMAGE:310025	W24330	N95469	W24330,N95469
4978	 ESTs, Weakly similar to C27F2.7 gene product [C.elegans] Chr.13 [309803, (IR), 5':W23819, 3':N94612]	IMAGE:309803	W23819	N94612	W23819,N94612
4979	SID W 310064, ESTs, Weakly similar to RETROVIRUS-RELATED POL POLYPROTEIN [Mus musculus] [5':W24137, 3':N98551]	IMAGE:310064	W24137	N98551	W24137,N98551
4980	 ESTs Chr.9 [309921, (IW), 5':W23955, 3':N94505]	IMAGE:309921	W23955	N94505	W23955,N94505
4981	 Human transcriptional regulator homolog RPD3 mRNA, complete cds Chr.6 [309924, (IW), 5':W23949, 3':N94499]	IMAGE:309924	W23949	N94499	W23949,N94499
4982	SID  309897, ESTs [5':W23939, 3':N94489]	IMAGE:309897	W23939	N94489	W23939,N94489
4983	SID W 310378, NAD-DEPENDENT METHYLENETETRAHYDROFOLATE DEHYDROGENASE [5':W31001, 3':N98720]	IMAGE:310378	W31001	N98720	W31001,N98720
4984	IL6 Interleukin 6 (B cell stimulatory factor 2) Chr.7 [310406, (RW), 5':W31016, 3':N98591]	IMAGE:310406	W31016	N98591	W31016,N98591
4985	 Human mRNA for XP-C repair complementing protein (p58/HHR23B), complete cds Chr.9 [310490, (IW), 5':W31067, 3':N98501]	IMAGE:310490	W31067	N98501	W31067,N98501
4986	SID W 310390, Protein kinase, cAMP-dependent, regulatory, type II, beta [5':W31099, 3':N99948]	IMAGE:310390	W31099	N99948	W31099,N99948
4987	SID  310414, GLUTATHIONE S-TRANSFERASE, MICROSOMAL [5':W31107, 3':N99964]	IMAGE:310414	W31107	N99964	W31107,N99964
4988	SID W 310384, Human mRNA for KIAA0081 gene, partial cds [5':W31098, 3':N99946]	IMAGE:310384	W31098	N99946	W31098,N99946
4989	SID W 310428, Homo Sapiens (clone PK2J) CDC2-related protein kinase (PISSLRE) mRNA, complete cds [5':W31029, 3':N98775]	IMAGE:310428	W31029	N98775	W31029,N98775
4990	 ESTs Chr.8 [310438, (IW), 5':W30909, 3':N99970]	IMAGE:310438	W30909	N99970	W30909,N99970
4991	SID  310521, Homo sapiens tumorous imaginal discs protein Tid56 homolog (TID1) mRNA, complete cds [5':W31089, 3':N98525]	IMAGE:310521	W31089	N98525	W31089,N98525
4992	GSTT1 Glutathione S-transferase theta 1 Chr.16 [310535, (IW), 5':W31141, 3':N99864]	IMAGE:310535	W31141	N99864	W31141,N99864
4993	SID  310358, ESTs [5':W30989, 3':N98758]	IMAGE:310358	W30989	N98758	W30989,N98758
4994	SID W 310487, ESTs [5':W31061, 3':N99938]	IMAGE:310487	W31061	N99938	W31061,N99938
4995	SID W 310397, ESTs [5':W31019, 3':N98593]	IMAGE:310397	W31019	N98593	W31019,N98593
4996	SID W 310420, Homo sapiens mitochondrial processing peptidase beta-subunit mRNA, complete cds [5':W31025, 3':N98771]	IMAGE:310420	W31025	N98771	W31025,N98771
4997	 Homo sapiens lysyl hydroxylase isoform 2 (PLOD2) mRNA, complete cds Chr.3 [310449, (IW), 5':W30982, 3':N98463]	IMAGE:310449	W30982	N98463	W30982,N98463
4998	SID  310849, Human mRNA for KIAA0147 gene, partial cds [5':, 3':W19261]	IMAGE:310849		W19261	W19261
4999	SID W 310800, Decay accelerating factor for complement (CD55, Cromer blood group system) [5':W25341, 3':W19215]	IMAGE:310800	W25341	W19215	W25341,W19215
5000	SID  310876, Human citrate transporter protein mRNA, nuclear gene encoding mitochondrial protein, complete cd [5':W25373, 3':W19269]	IMAGE:310876	W25373	W19269	W25373,W19269
5001	SID  310833, Human polymorphic epithelial mucin core protein mRNA, 3' end [5':W25426, 3':W19232]	IMAGE:310833	W25426	W19232	W25426,W19232
5002	 ESTs Chr.22 [310894, (R), 5':W25541, 3':W19329]	IMAGE:310894	W25541	W19329	W25541,W19329
5003	 ESTs, Weakly similar to PROTEIN Q300 [Mus musculus] Chr.1 [310617, (IEW), 5':W31186, 3':N98881]	IMAGE:310617	W31186	N98881	W31186,N98881
5004	*Translation elongation factor 1-alpha-1 SID W 310815, Vascular endothelial growth factor [5':W25323, 3':W19225]	IMAGE:310815	W25323	W19225	W25323,W19225
5005	 ESTs Chr.12 [310744, (IW), 5':W25518, 3':W19311]	IMAGE:310744	W25518	W19311	W25518,W19311
5006	SID W 310726, Homo sapiens mRNA for KIAA0595 protein, partial cds [5':W25308, 3':N99874]	IMAGE:310726	W25308	N99874	W25308,N99874
5007	 Human elastin gene, partial cds and partial 3'UTR Chr.7 [310739, (IW), 5':W25321, 3':W19191]	IMAGE:310739	W25321	W19191	W25321,W19191
5008	SID  310703, Homo sapiens mRNA for KIAA0579 protein, partial cds [5':W25305, 3':N99930]	IMAGE:310703	W25305	N99930	W25305,N99930
5009	 ESTs Chr.16 [310597, (IW), 5':W31174, 3':N98734]	IMAGE:310597	W31174	N98734	W31174,N98734
5010	SID W 310799, ESTs [5':W25491, 3':W19328]	IMAGE:310799	W25491	W19328	W25491,W19328
